,방송시간,프로그램 정보
0,04:55,TV유치원 1497회
1,05:25,TV유치원 1498회
2,05:55,출동!슈퍼윙스 시즌3 5회
3,06:25,출동!슈퍼윙스 시즌3 6회
4,06:50,시간탐험대 다이노맨 시즌1 스토마토수쿠스 / 마스토돈
5,07:10,시간탐험대 다이노맨 시즌1 샤로빕테릭스 / 오돈토켈리스
6,07:25,시간탐험대 다이노맨 시즌1 마스토돈사우루스 / 웃는올빼미
7,07:35,시간탐험대 다이노맨 시즌1 글립토돈 / 카메로케라스
8,07:55,헬로카봇 시즌12 붐바 마을을 지켜주는 나무
9,08:10,헬로카봇 시즌12 붐바 중력이 무서워
10,08:25,헬로카봇 시즌12 붐바 열대 숲의 정원사를 구해줘
11,08:35,헬로카봇 시즌12 붐바 선녀를 도와줘
12,08:55,슈퍼텐S2 전설의 슈퍼리온 전설 속 열 명의 슈퍼리온
13,09:10,슈퍼텐S2 전설의 슈퍼리온 트롤 숲의 함정
14,09:20,슈퍼텐S2 전설의 슈퍼리온 깊은 바닷속의 괴물
15,09:30,슈퍼텐S2 전설의 슈퍼리온 모습을 드러낸 전기상어
16,09:50,호기심천꾹이 손 안대고 뚝딱! 샤를의 법칙?
17,10:10,호기심천꾹이 사계절 내내 집에서 눈사람을 만든다고? - 집에서 눈 만들기!
18,10:25,호기심천꾹이 달달한 폭탄 만들기! 설탕의 대변신
19,10:35,호기심천꾹이 여러분 속고 살지 마세요! SNS 실험 진실 혹은 거짓
20,10:50,호기심천꾹이 모여라! 다들 여기로 모여라! 표면장력!
21,11:10,밍꼬발랄프렌즈 밍꼬박스 -반전 편 | 이상한 방에 갇혔다!! 방탈출 1편 / 밍꼬박스 -반전 편 | 방탈출에서 만난 사람은?! 방탈출 2편 / 밍꼬박스 -반전 편 | 방에 가둔 범인의 정체는?!
22,11:35,밍꼬발랄프렌즈 책 읽는 유형 / 마니또 유형 / 엄마가 만들어준 음식 맛없을 때 유형 / 되감기 공소시효 | 친구의 질투 / 공포 공소시효 | 낯선사람
23,12:00,밍꼬발랄프렌즈 양말에 구멍 났을 때 유형 / 갑자기 짝남 싫어졌을 때 유형 / 고민 공소시효 | 내 친구를 좋아하는 짝남 / 되감기 공소시효 | 아닌 밤중에 욕받이 / 공포 공소시효 | 우리반
24,12:25,마음의소리 시즌2 효자 2 / 살아있는 생선 / 고라니 2
25,12:55,마음의소리 시즌2 주인공 / 인형을 뽑기 / 롱파카
26,13:20,마음의소리 시즌2 기계 / 쉿 / 캠핑 부자
27,13:45,안녕자두야 시즌2 가을은 민지를 슬프게 해 / 크리스마스의 악몽
28,14:15,안녕자두야 시즌2 자두의 일기 / 쓰레기 투기범을 찾아라
29,14:40,안녕자두야 시즌2 행운의 편지 / 반항하지 말란 말이야
30,15:10,겜브링TV 시즌4 20회
31,15:35,겜브링TV 시즌4 21회
32,16:00,가면라이더 이그제이드 승자에게 바치는 love&peace!
33,16:25,가면라이더 이그제이드 Identity를 초월하여
34,16:50,포켓몬스터W 파트7 세미파이널 I 『압승』
35,17:20,포켓몬스터W 파트7 세미파이널 II 『혼란』
36,17:50,브레드이발소 큰머리 컵케이크 / 개구쟁이 도넛 / 헤비메탈
37,18:25,브레드이발소 입사테스트 / 무서운 파이 / 윌크의 이사
38,18:55,"베리베리 뮤우뮤우 뉴 자신을 가져, 크루즈는 첫사랑 맛"
39,19:20,베리베리 뮤우뮤우 뉴 사랑의 큐피드 극비 데이트 작전!
40,19:50,알쏭달쏭 캐치!티니핑 변신! 플로라하트
41,20:10,알쏭달쏭 캐치!티니핑 과식은 위험해 얌얌
42,20:25,알쏭달쏭 캐치!티니핑 뜨거뜨거 캠핑 소동
43,20:35,알쏭달쏭 캐치!티니핑 치료해줄게 삐뽀
44,20:50,알쏭달쏭 캐치!티니핑 티니핑 병원이 생겼어요
45,21:05,브레드이발소 시즌2 브레드의 위기 (파이)
46,21:25,브레드이발소 시즌2 초코의 소개팅 (소시지)
47,21:35,브레드이발소 시즌2 저주의 거울 (꽈배기)
48,21:45,브레드이발소 시즌2 공주와 치즈 (카망베르치즈)
49,21:55,브레드이발소 시즌2 브레드가 된 윌크 (도넛)
50,22:10,브레드이발소 시즌2 딸기와 초콜릿 (발렌타인데이)
51,22:20,브레드이발소 시즌2 브랜든의 방문 (식빵)
52,22:40,총몇명 총몇명과 총몇명 스토리 캐릭터들이 들려주는 무서운 사연
53,23:05,총몇명 총몇명과 도티가 만났다? 얼떨결에 총몇명과의 계약에 사인한 도티가 들려주는 사연 낭독!
54,23:35,옥탑방의문제아들 214회
55,00:55,아마도 마지막 존재 반려견 1부 : 댕댕투개더
56,01:50,헬로카봇 시즌4 토성탐사선 토담
57,02:10,헬로카봇 시즌4 꿈속에서 생긴 일
58,02:20,헬로카봇 시즌4 깔깔 바이러스
59,02:35,헬로카봇 시즌4 퀴즈대회에서 생긴 일
60,02:55,몬스터탑 설아 구출작전! (하)
61,03:10,몬스터탑 스틸아머 드래곤 등장
62,03:20,몬스터탑 최종진화!! 플레임 나이트 (상)
63,03:30,몬스터탑 최종진화!! 플레임 나이트 (하)
64,03:55,누가누가잘하나 630회
